"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO_definition","GO_ontology","GO_term","group"
"1","GO:0000724","protein kinase family protein","3/209","28/32782",0.00074394850920373,0.0418782886917215,0.0388188379074873,"HORVU.MOREX.r2.1HG0072300/HORVU.MOREX.r2.2HG0167130/HORVU.MOREX.r2.2HG0147900",3,"The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule.","BP","double-strand break repair via homologous recombination","eQTL_cluster2"
"2","GO:0004721","Protein phosphatase 2c, putative","6/209","126/32782",0.00016304764574695,0.017350132504384,0.0160826051493898,"HORVU.MOREX.r2.4HG0335530/HORVU.MOREX.r2.5HG0364830/HORVU.MOREX.r2.1HG0013310/HORVU.MOREX.r2.6HG0523250/HORVU.MOREX.r2.1HG0051640/HORVU.MOREX.r2.7HG0594100",6,"Catalysis of the reaction: a phosphoprotein + H2O = a protein + phosphate. Together with protein kinases, these enzymes control the state of phosphorylation of cell proteins and thereby provide an important mechanism for regulating cellular activity.","MF","phosphoprotein phosphatase activity","eQTL_cluster2"
"3","GO:0006470","Protein phosphatase 2c, putative","6/209","169/32782",0.000781311356188833,0.0418782886917215,0.0388188379074873,"HORVU.MOREX.r2.4HG0335530/HORVU.MOREX.r2.5HG0364830/HORVU.MOREX.r2.1HG0013310/HORVU.MOREX.r2.6HG0523250/HORVU.MOREX.r2.1HG0051640/HORVU.MOREX.r2.7HG0594100",6,"The process of removing one or more phosphoric residues from a protein.","BP","protein dephosphorylation","eQTL_cluster2"
"4","GO:0016925","Pectin lyase-like superfamily protein","3/209","18/32782",0.000194217901168478,0.017350132504384,0.0160826051493898,"HORVU.MOREX.r2.1HG0072300/HORVU.MOREX.r2.4HG0343670/HORVU.MOREX.r2.1HG0042520",3,"The process in which a SUMO protein (small ubiquitin-related modifier) is conjugated to a target protein via an isopeptide bond between the carboxy-terminus of SUMO with an epsilon-amino group of a lysine residue of the target protein.","BP","protein sumoylation","eQTL_cluster2"
"5","GO:0019789","Pectin lyase-like superfamily protein","3/209","11/32782",4.05881681929947e-05,0.0108776290757226,0.0100829554668913,"HORVU.MOREX.r2.1HG0072300/HORVU.MOREX.r2.4HG0343670/HORVU.MOREX.r2.1HG0042520",3,"Catalysis of the transfer of SUMO from one protein to another via the reaction X-SUMO + Y --> Y-SUMO + X, where both X-SUMO and Y-SUMO are covalent linkages.","MF","SUMO transferase activity","eQTL_cluster2"
"6","GO:0003857","Pentatricopeptide repeat-containing protein","3/194","28/32782",0.000599431845085671,0.0308107968374035,0.0291513170978505,"HORVU.MOREX.r2.6HG0466830/HORVU.MOREX.r2.3HG0191770/HORVU.MOREX.r2.4HG0317610",3,"Catalysis of the reaction: (S)-3-hydroxyacyl-CoA + NAD+ = 3-oxoacyl-CoA + NADH + H(+).","MF","3-hydroxyacyl-CoA dehydrogenase activity","eQTL_cluster3"
"7","GO:0004300","Fatty acid oxidation complex subunit alpha","3/194","23/32782",0.000331183000216585,0.0308107968374035,0.0291513170978505,"HORVU.MOREX.r2.6HG0466830/HORVU.MOREX.r2.3HG0191770/HORVU.MOREX.r2.4HG0317610",3,"Catalysis of the reaction: (3S)-3-hydroxyacyl-CoA = trans-2-enoyl-CoA + H2O.","MF","enoyl-CoA hydratase activity","eQTL_cluster3"
"8","GO:0006189","Phosphoribosylformylglycinamidine synthase family protein","3/194","28/32782",0.000599431845085671,0.0308107968374035,0.0291513170978505,"HORVU.MOREX.r2.2HG0135150/HORVU.MOREX.r2.1HG0066050/HORVU.MOREX.r2.1HG0032940",3,"The chemical reactions and pathways resulting in the formation of IMP, inosine monophosphate, by the stepwise assembly of a purine ring on ribose 5-phosphate.","BP","'de novo' IMP biosynthetic process","eQTL_cluster3"
"9","GO:0008692","Fatty acid oxidation complex subunit alpha","3/194","25/32782",0.000426377535671505,0.0308107968374035,0.0291513170978505,"HORVU.MOREX.r2.6HG0466830/HORVU.MOREX.r2.3HG0191770/HORVU.MOREX.r2.4HG0317610",3,"Catalysis of the reaction: (S)-3-hydroxybutanoyl-CoA = (R)-3-hydroxybutanoyl-CoA.","MF","3-hydroxybutyryl-CoA epimerase activity","eQTL_cluster3"
"10","GO:0016307","Disease resistance protein (NBS-LRR class) family","3/194","31/32782",0.000811820076512819,0.0347729599439657,0.0329000767849932,"HORVU.MOREX.r2.UnG0626940/HORVU.MOREX.r2.5HG0419040/HORVU.MOREX.r2.UnG0626970",3,"Catalysis of the reaction: ATP + a phosphatidylinositol phosphate = ADP + a phosphatidylinositol bisphosphate.","MF","phosphatidylinositol phosphate kinase activity","eQTL_cluster3"
"11","GO:0016308","Disease resistance protein (NBS-LRR class) family","3/194","22/32782",0.000289242747618858,0.0308107968374035,0.0291513170978505,"HORVU.MOREX.r2.UnG0626940/HORVU.MOREX.r2.5HG0419040/HORVU.MOREX.r2.UnG0626970",3,"Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol 4-phosphate + ATP = 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + ADP + 2 H(+).","MF","1-phosphatidylinositol-4-phosphate 5-kinase activity","eQTL_cluster3"
"12","GO:0046488","Disease resistance protein (NBS-LRR class) family","3/194","33/32782",0.00097685448107708,0.0358645145195442,0.0339328398689933,"HORVU.MOREX.r2.UnG0626940/HORVU.MOREX.r2.5HG0419040/HORVU.MOREX.r2.UnG0626970",3,"The chemical reactions and pathways involving phosphatidylinositol, any glycophospholipid in which a sn-glycerol 3-phosphate residue is esterified to the 1-hydroxyl group of 1D-myo-inositol.","BP","phosphatidylinositol metabolic process","eQTL_cluster3"
"13","GO:0004435","Phosphoinositide phospholipase C","6/530","10/32782",3.45116833162825e-09,1.9671659490281e-07,1.61296709393994e-07,"HORVU.MOREX.r2.1HG0011560/HORVU.MOREX.r2.2HG0088780/HORVU.MOREX.r2.2HG0088580/HORVU.MOREX.r2.4HG0320300/HORVU.MOREX.r2.5HG0386030/HORVU.MOREX.r2.1HG0011580",6,"Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + H(2)O = 1,2-diacylglycerol + 1D-myo-inositol 1,4,5-trisphosphate + H(+).","MF","phosphatidylinositol phospholipase C activity","eQTL_cluster4"
"14","GO:0004871","Guanine nucleotide-binding protein G(k) subunit alpha","6/530","56/32782",0.000284173226766904,0.00323957478514271,0.00265627184598959,"HORVU.MOREX.r2.1HG0011560/HORVU.MOREX.r2.2HG0088780/HORVU.MOREX.r2.2HG0088580/HORVU.MOREX.r2.4HG0320300/HORVU.MOREX.r2.5HG0386030/HORVU.MOREX.r2.1HG0011580",6,NA,NA,NA,"eQTL_cluster4"
"15","GO:0005215","Sugar transporter, putative","22/530","201/32782",2.19450565767708e-12,3.12717056218984e-10,2.56410661054901e-10,"HORVU.MOREX.r2.6HG0468110/HORVU.MOREX.r2.1HG0042180/HORVU.MOREX.r2.3HG0264810/HORVU.MOREX.r2.2HG0111520/HORVU.MOREX.r2.3HG0192310/HORVU.MOREX.r2.2HG0147120/HORVU.MOREX.r2.1HG0070410/HORVU.MOREX.r2.1HG0070460/HORVU.MOREX.r2.2HG0149910/HORVU.MOREX.r2.5HG0349490/HORVU.MOREX.r2.6HG0513820/HORVU.MOREX.r2.2HG0083720/HORVU.MOREX.r2.3HG0232250/HORVU.MOREX.r2.5HG0390690/HORVU.MOREX.r2.1HG0070430/HORVU.MOREX.r2.7HG0578670/HORVU.MOREX.r2.4HG0347430/HORVU.MOREX.r2.7HG0560520/HORVU.MOREX.r2.2HG0157420/HORVU.MOREX.r2.5HG0419410/HORVU.MOREX.r2.3HG0189240/HORVU.MOREX.r2.3HG0264820",22,"Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.","MF","transporter activity","eQTL_cluster4"
"16","GO:0005516","Calmodulin-binding protein, putative, expressed","6/530","92/32782",0.00383523112451853,0.0321482608966994,0.0263597928682078,"HORVU.MOREX.r2.2HG0088550/HORVU.MOREX.r2.1HG0042870/HORVU.MOREX.r2.2HG0088540/HORVU.MOREX.r2.2HG0174010/HORVU.MOREX.r2.3HG0256180/HORVU.MOREX.r2.7HG0529200",6,"Interacting selectively and non-covalently with calmodulin, a calcium-binding protein with many roles, both in the calcium-bound and calcium-free states.","MF","calmodulin binding","eQTL_cluster4"
"17","GO:0006004","O-fucosyltransferase family protein","4/530","32/32782",0.00169645781294613,0.0161163492229882,0.0132145134903172,"HORVU.MOREX.r2.7HG0606840/HORVU.MOREX.r2.7HG0554380/HORVU.MOREX.r2.7HG0551500/HORVU.MOREX.r2.6HG0467990",4,"The chemical reactions and pathways involving fucose, or 6-deoxygalactose, which has two enantiomers, D-fucose and L-fucose.","BP","fucose metabolic process","eQTL_cluster4"
"18","GO:0006811","V-type proton ATPase proteolipid subunit","22/530","420/32782",1.73184548223795e-06,6.09168138580979e-05,4.99484124709057e-05,"HORVU.MOREX.r2.2HG0178310/HORVU.MOREX.r2.2HG0158090/HORVU.MOREX.r2.1HG0063180/HORVU.MOREX.r2.2HG0158800/HORVU.MOREX.r2.2HG0093910/HORVU.MOREX.r2.5HG0420460/HORVU.MOREX.r2.5HG0423560/HORVU.MOREX.r2.5HG0349810/HORVU.MOREX.r2.2HG0117130/HORVU.MOREX.r2.4HG0279340/HORVU.MOREX.r2.4HG0277550/HORVU.MOREX.r2.3HG0262540/HORVU.MOREX.r2.1HG0007070/HORVU.MOREX.r2.7HG0599600/HORVU.MOREX.r2.6HG0516530/HORVU.MOREX.r2.4HG0290630/HORVU.MOREX.r2.1HG0024540/HORVU.MOREX.r2.7HG0557110/HORVU.MOREX.r2.6HG0518380/HORVU.MOREX.r2.2HG0171110/HORVU.MOREX.r2.7HG0547700/HORVU.MOREX.r2.1HG0054170",22,"The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","BP","ion transport","eQTL_cluster4"
"19","GO:0006813","Potassium transporter","15/530","126/32782",2.1994315270449e-09,1.56709496301949e-07,1.28493105001044e-07,"HORVU.MOREX.r2.2HG0178310/HORVU.MOREX.r2.2HG0158090/HORVU.MOREX.r2.2HG0158800/HORVU.MOREX.r2.2HG0093910/HORVU.MOREX.r2.5HG0420460/HORVU.MOREX.r2.2HG0117130/HORVU.MOREX.r2.3HG0262540/HORVU.MOREX.r2.1HG0007070/HORVU.MOREX.r2.7HG0599600/HORVU.MOREX.r2.6HG0516530/HORVU.MOREX.r2.4HG0290630/HORVU.MOREX.r2.7HG0557110/HORVU.MOREX.r2.2HG0171110/HORVU.MOREX.r2.7HG0547700/HORVU.MOREX.r2.1HG0054170",15,"The directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","BP","potassium ion transport","eQTL_cluster4"
"20","GO:0006855","Protein DETOXIFICATION","9/530","86/32782",1.07560380482433e-05,0.000255455903645778,0.000209459688307896,"HORVU.MOREX.r2.5HG0354890/HORVU.MOREX.r2.5HG0414770/HORVU.MOREX.r2.1HG0069800/HORVU.MOREX.r2.1HG0006150/HORVU.MOREX.r2.2HG0116210/HORVU.MOREX.r2.2HG0110730/HORVU.MOREX.r2.7HG0595480/HORVU.MOREX.r2.3HG0269880/HORVU.MOREX.r2.4HG0295800",9,"The process in which a drug is transported across a membrane.","BP","drug transmembrane transport","eQTL_cluster4"
"21","GO:0006857","Peptide transporter","4/530","36/32782",0.00264112449998846,0.0228097115908095,0.0187026998085307,"HORVU.MOREX.r2.3HG0192310/HORVU.MOREX.r2.4HG0347430/HORVU.MOREX.r2.2HG0157420/HORVU.MOREX.r2.3HG0189240",4,"The directed movement of oligopeptides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages.","BP","oligopeptide transport","eQTL_cluster4"
"22","GO:0007034","Charged multivesicular body protein 5","3/530","21/32782",0.00449952275089656,0.0366389709715863,0.0300419263368131,"HORVU.MOREX.r2.1HG0033180/HORVU.MOREX.r2.3HG0192360/HORVU.MOREX.r2.1HG0000740",3,"The directed movement of substances into, out of or within a vacuole.","BP","vacuolar transport","eQTL_cluster4"
"23","GO:0008081","Phosphoinositide phospholipase C","8/530","54/32782",2.39794303640656e-06,6.8341376537587e-05,5.60361425349744e-05,"HORVU.MOREX.r2.1HG0011560/HORVU.MOREX.r2.2HG0088780/HORVU.MOREX.r2.5HG0414970/HORVU.MOREX.r2.2HG0088580/HORVU.MOREX.r2.4HG0320300/HORVU.MOREX.r2.5HG0386030/HORVU.MOREX.r2.1HG0011580/HORVU.MOREX.r2.1HG0066850",8,"Catalysis of the hydrolysis of a phosphodiester to give a phosphomonoester and a free hydroxyl group.","MF","phosphoric diester hydrolase activity","eQTL_cluster4"
"24","GO:0008271","Sulfate transporter 1.1-like protein","4/530","18/32782",0.000172640498535882,0.00223647918557847,0.00183378902751032,"HORVU.MOREX.r2.7HG0614570/HORVU.MOREX.r2.2HG0169630/HORVU.MOREX.r2.5HG0401430/HORVU.MOREX.r2.4HG0332690",4,"Enables the secondary active transfer of sulfate from one side of a membrane to the other. Secondary active transport is the transfer of a solute across a membrane, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters.","MF","secondary active sulfate transmembrane transporter activity","eQTL_cluster4"
"25","GO:0008272","Sulfate transporter 1.1-like protein","4/530","18/32782",0.000172640498535882,0.00223647918557847,0.00183378902751032,"HORVU.MOREX.r2.7HG0614570/HORVU.MOREX.r2.2HG0169630/HORVU.MOREX.r2.5HG0401430/HORVU.MOREX.r2.4HG0332690",4,"The directed movement of sulfate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","BP","sulfate transport","eQTL_cluster4"
"26","GO:0008553","Plasma membrane ATPase","3/530","14/32782",0.0013393010131369,0.0131620961635867,0.0107921896521376,"HORVU.MOREX.r2.5HG0349810/HORVU.MOREX.r2.4HG0279340/HORVU.MOREX.r2.6HG0518380",3,"Enables the transfer of protons from one side of a membrane to the other according to the reaction: ATP + H2O + H+(in) -> ADP + phosphate + H+(out). These transporters use a phosphorylative mechanism, which have a phosphorylated intermediate state during the ion transport cycle.","MF","proton-exporting ATPase activity, phosphorylative mechanism","eQTL_cluster4"
"27","GO:0008643","WRKY family transcription factor family protein","12/530","120/32782",6.1105324943769e-07,2.48785965842488e-05,2.03990708834838e-05,"HORVU.MOREX.r2.6HG0468110/HORVU.MOREX.r2.1HG0042180/HORVU.MOREX.r2.3HG0264810/HORVU.MOREX.r2.2HG0111520/HORVU.MOREX.r2.3HG0256850/HORVU.MOREX.r2.5HG0349490/HORVU.MOREX.r2.6HG0513820/HORVU.MOREX.r2.2HG0083720/HORVU.MOREX.r2.5HG0390690/HORVU.MOREX.r2.7HG0578670/HORVU.MOREX.r2.1HG0025160/HORVU.MOREX.r2.3HG0264820",12,"The directed movement of carbohydrate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Carbohydrates are any of a group of organic compounds based of the general formula Cx(H2O)y.","BP","carbohydrate transport","eQTL_cluster4"
"28","GO:0009607","Pentatricopeptide repeat-containing protein, putative","6/530","50/32782",0.000150919729656528,0.00223647918557847,0.00183378902751032,"HORVU.MOREX.r2.2HG0088550/HORVU.MOREX.r2.1HG0042870/HORVU.MOREX.r2.2HG0088540/HORVU.MOREX.r2.2HG0174010/HORVU.MOREX.r2.3HG0256180/HORVU.MOREX.r2.7HG0529200",6,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism.","BP","response to biotic stimulus","eQTL_cluster4"
"29","GO:0010268","Cytochrome P450 family protein","4/530","12/32782",3.0165395646655e-05,0.000582583696174677,0.000477686354758184,"HORVU.MOREX.r2.2HG0155060/HORVU.MOREX.r2.6HG0500250/HORVU.MOREX.r2.2HG0155110/HORVU.MOREX.r2.2HG0149890",4,"Any process involved in the maintenance of an internal steady state of brassinosteroids within an organism or cell.","BP","brassinosteroid homeostasis","eQTL_cluster4"
