Target,ID
HORVU.MOREX.r2.7HG0618510,MLA
HORVU.MOREX.r2.1HG0071390,MLA
HORVU.MOREX.r2.3HG0259240,MLA
HORVU.MOREX.r2.5HG0439020,MLA
HORVU.MOREX.r2.1HG0038710,MLA
HORVU.MOREX.r2.5HG0404360,MLA
HORVU.MOREX.r2.5HG0370990,MLA
HORVU.MOREX.r2.4HG0338560,MLA
HORVU.MOREX.r2.5HG0402280,MLA
HORVU.MOREX.r2.3HG0255360,MLA
HORVU.MOREX.r2.1HG0058670,MLA
HORVU.MOREX.r2.7HG0616280,MLA
HORVU.MOREX.r2.7HG0598410,MLA
HORVU.MOREX.r2.3HG0208220,MLA
HORVU.MOREX.r2.7HG0598540,MLA
HORVU.MOREX.r2.1HG0009580,MLA
HORVU.MOREX.r2.5HG0406220,MLA
HORVU.MOREX.r2.3HG0226630,MLA
HORVU.MOREX.r2.3HG0192030,MLA
HORVU.MOREX.r2.6HG0471210,MLA
HORVU.MOREX.r2.7HG0616250,MLA
HORVU.MOREX.r2.6HG0484160,MLA
