"X","gene","timepoint"
1,"HORVU.MOREX.r2.1HG0003400","16H"
2,"HORVU.MOREX.r2.1HG0002460","16H"
3,"HORVU.MOREX.r2.1HG0003010","16H"
4,"HORVU.MOREX.r2.1HG0003340","16H"
5,"HORVU.MOREX.r2.1HG0002750","16H"
6,"HORVU.MOREX.r2.1HG0003070","16H"
7,"HORVU.MOREX.r2.3HG0223850","32H"
8,"HORVU.MOREX.r2.1HG0003400","32H"
9,"HORVU.MOREX.r2.4HG0304230","32H"
10,"HORVU.MOREX.r2.4HG0329890","32H"
11,"HORVU.MOREX.r2.7HG0529010","32H"
12,"HORVU.MOREX.r2.6HG0458320","32H"
13,"HORVU.MOREX.r2.2HG0079750","32H"
14,"HORVU.MOREX.r2.3HG0214090","32H"
15,"HORVU.MOREX.r2.3HG0235570","32H"
16,"HORVU.MOREX.r2.3HG0252570","32H"
17,"HORVU.MOREX.r2.7HG0535730","32H"
18,"HORVU.MOREX.r2.4HG0308370","32H"
19,"HORVU.MOREX.r2.1HG0061820","32H"
20,"HORVU.MOREX.r2.3HG0230130","32H"
21,"HORVU.MOREX.r2.2HG0146410","32H"
22,"HORVU.MOREX.r2.4HG0284300","32H"
23,"HORVU.MOREX.r2.2HG0089930","32H"
24,"HORVU.MOREX.r2.5HG0388020","32H"
25,"HORVU.MOREX.r2.5HG0363200","32H"
26,"HORVU.MOREX.r2.3HG0187670","32H"
27,"HORVU.MOREX.r2.3HG0262300","32H"
28,"HORVU.MOREX.r2.6HG0496320","32H"
29,"HORVU.MOREX.r2.1HG0063960","32H"
30,"HORVU.MOREX.r2.5HG0410860","32H"
31,"HORVU.MOREX.r2.6HG0500300","32H"
32,"HORVU.MOREX.r2.2HG0153930","32H"
33,"HORVU.MOREX.r2.5HG0389190","32H"
34,"HORVU.MOREX.r2.2HG0126620","32H"
35,"HORVU.MOREX.r2.2HG0170970","32H"
36,"HORVU.MOREX.r2.4HG0332820","32H"
37,"HORVU.MOREX.r2.2HG0140590","32H"
38,"HORVU.MOREX.r2.4HG0298180","32H"
39,"HORVU.MOREX.r2.1HG0077500","32H"
40,"HORVU.MOREX.r2.5HG0404360","32H"
41,"HORVU.MOREX.r2.5HG0370880","32H"
42,"HORVU.MOREX.r2.4HG0283210","32H"
43,"HORVU.MOREX.r2.6HG0524760","32H"
44,"HORVU.MOREX.r2.5HG0423840","32H"
45,"HORVU.MOREX.r2.4HG0340100","32H"
