"","node","cluster"
"1","HORVU.MOREX.r2.5HG0436100",13
"2","HORVU.MOREX.r2.6HG0491650",13
"3","HORVU.MOREX.r2.3HG0232100",6
"4","HORVU.MOREX.r2.1HG0047070",15
"5","HORVU.MOREX.r2.7HG0530900",15
"6","HORVU.MOREX.r2.4HG0281220",15
"7","HORVU.MOREX.r2.7HG0530810",15
"8","HORVU.MOREX.r2.6HG0470280",15
"9","HORVU.MOREX.r2.4HG0339440",15
"10","HORVU.MOREX.r2.1HG0066220",8
"11","HORVU.MOREX.r2.7HG0612440",15
"12","HORVU.MOREX.r2.6HG0507580",15
"13","HORVU.MOREX.r2.2HG0086230",11
"14","HORVU.MOREX.r2.7HG0578670",15
"15","HORVU.MOREX.r2.6HG0513520",15
"16","HORVU.MOREX.r2.6HG0513500",15
"17","HORVU.MOREX.r2.1HG0070460",15
"18","HORVU.MOREX.r2.7HG0599600",15
"19","HORVU.MOREX.r2.1HG0070350",15
"20","HORVU.MOREX.r2.2HG0160580",15
"21","HORVU.MOREX.r2.4HG0344040",15
"22","HORVU.MOREX.r2.5HG0420070",15
"23","HORVU.MOREX.r2.2HG0129100",15
"24","HORVU.MOREX.r2.3HG0205390",15
"25","HORVU.MOREX.r2.6HG0490260",11
"26","HORVU.MOREX.r2.4HG0279340",2
"27","HORVU.MOREX.r2.7HG0592090",15
"28","HORVU.MOREX.r2.5HG0423060",15
"29","HORVU.MOREX.r2.6HG0467940",15
"30","HORVU.MOREX.r2.4HG0321710",15
"31","HORVU.MOREX.r2.2HG0156810",8
"32","HORVU.MOREX.r2.7HG0569910",15
"33","HORVU.MOREX.r2.7HG0538510",15
"34","HORVU.MOREX.r2.1HG0070430",15
"35","HORVU.MOREX.r2.6HG0479930",15
"36","HORVU.MOREX.r2.3HG0258980",15
"37","HORVU.MOREX.r2.1HG0033010",15
"38","HORVU.MOREX.r2.1HG0046920",15
"39","HORVU.MOREX.r2.1HG0023790",11
"40","HORVU.MOREX.r2.3HG0206910",15
"41","HORVU.MOREX.r2.5HG0401210",15
"42","HORVU.MOREX.r2.5HG0414340",15
"43","HORVU.MOREX.r2.4HG0327430",15
"44","HORVU.MOREX.r2.7HG0593780",15
"45","HORVU.MOREX.r2.5HG0401680",15
"46","HORVU.MOREX.r2.5HG0349640",15
"47","HORVU.MOREX.r2.3HG0266010",15
"48","HORVU.MOREX.r2.2HG0110730",15
"49","HORVU.MOREX.r2.2HG0088830",15
"50","HORVU.MOREX.r2.7HG0548300",15
"51","HORVU.MOREX.r2.4HG0333940",15
"52","HORVU.MOREX.r2.7HG0537760",15
"53","HORVU.MOREX.r2.1HG0043560",15
