"GO","GO_definition","GO_ontology","GO_term"
"GO:0000166","Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.","MF","nucleotide binding"
"GO:0000287","Interacting selectively and non-covalently with magnesium (Mg) ions.","MF","magnesium ion binding"
"GO:0005524","Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.","MF","ATP binding"
"GO:0015914","The directed movement of phospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Phospholipids are any lipids containing phosphoric acid as a mono- or diester.","BP","phospholipid transport"
"GO:0016020","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.","CC","membrane"
"GO:0016021","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.","CC","integral component of membrane"
"GO:0016787","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.","MF","hydrolase activity"
"GO:0045332","The movement of a phospholipid molecule from one leaflet of a membrane bilayer to the opposite leaflet.","BP","phospholipid translocation"
"GO:0004497","Catalysis of the incorporation of one atom from molecular oxygen into a compound and the reduction of the other atom of oxygen to water.","MF","monooxygenase activity"
"GO:0005506","Interacting selectively and non-covalently with iron (Fe) ions.","MF","iron ion binding"
"GO:0016491","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.","MF","oxidoreductase activity"
"GO:0016705","Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and molecular oxygen is reduced or incorporated into a donor.","MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"GO:0020037","Interacting selectively and non-covalently with heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring.","MF","heme binding"
"GO:0046872","Interacting selectively and non-covalently with any metal ion.","MF","metal ion binding"
"GO:0055114","A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.","BP","oxidation-reduction process"
"GO:0004672","Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.","MF","protein kinase activity"
"GO:0006468","The process of introducing a phosphate group on to a protein.","BP","protein phosphorylation"
"GO:0016301","Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule.","MF","kinase activity"
"GO:0016310","The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide.","BP","phosphorylation"
"GO:0003729","Interacting selectively and non-covalently with messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns.","MF","mRNA binding"
