"","node","degree","betweenness","closeness","eigcent","bdc","diffslc_09","description"
"1","HORVU.MOREX.r2.1HG0000020",3,0,8.76917718381842e-07,0.00797719653521109,1.12468554517832,0.119648031399522,"Phospholipid-transporting ATPase"
"2","HORVU.MOREX.r2.1HG0000050",2,0,8.77578790369026e-07,4.81120823788258e-07,1.73273714819549,0.17327414782829,"Receptor-like kinase"
"3","HORVU.MOREX.r2.1HG0000070",2,0,8.76198935852728e-07,5.25605560559769e-05,1.76137123024455,0.176184427524905,"Tripartite motif-containing protein 29"
"4","HORVU.MOREX.r2.1HG0000110",2,0,8.76881764493754e-07,0.000403696934054458,1.84082937197514,0.184446264438163,"50S ribosomal protein L28"
"5","HORVU.MOREX.r2.1HG0000280",11,0,8.7761064895002e-07,0.00184865049967544,1.87315930257281,0.188979715706989,"Paired amphipathic helix protein Sin3"
"6","HORVU.MOREX.r2.1HG0000470",4,0,8.78936011373212e-07,1.12833615630224e-05,2.13716791580864,0.21372694660627,"Peptidyl-prolyl cis-trans isomerase"
"7","HORVU.MOREX.r2.1HG0000700",66,14014,8.788479703961e-07,0.0328532648798337,19.9871471516655,2.0282826535584,"Transcription initiation factor TFIID subunit 6"
"8","HORVU.MOREX.r2.1HG0000720",3,0,8.78027861812951e-07,3.70214201299934e-06,0.958121823495252,0.0958155142773369,"RING-finger E3 ubiquitin ligase, putative"
"9","HORVU.MOREX.r2.1HG0000740",263,120360.634711117,8.79012302174774e-07,0.0023369779869331,42.8292605482239,4.28502933501063,"Charged multivesicular body protein 5"
"10","HORVU.MOREX.r2.1HG0000960",3,0,8.79076962135937e-07,5.68276382919137e-05,2.49889163532626,0.249940308407088,"SNF1-related protein kinase regulatory subunit beta-2"
"11","HORVU.MOREX.r2.1HG0001140",11,5141.28552698807,8.78836954479367e-07,2.36028426110178e-06,2.84659056203929,0.284661180459763,"Methylsterol monooxygenase 1-2"
"12","HORVU.MOREX.r2.1HG0001540",7,14030,8.7790634198165e-07,0.00157947591314391,3.90118152649607,0.391539680971436,"Actin"
"13","HORVU.MOREX.r2.1HG0001560",19,35299,8.78436381972359e-07,0.00417213730599839,5.00809900404071,0.50456482397947,"Phosphoinositide phosphatase family protein"
"14","HORVU.MOREX.r2.1HG0001650",4,91776.1624913039,8.78837531454098e-07,1.01685461072907e-06,1.20371888206387,0.120372803375537,"NBS-LRR disease resistance protein, putative, expressed"
