"","node","degree","betweenness","closeness","eigcent","bdc","diffslc_09","description"
"1","HORVU.MOREX.r2.1HG0000020",1,0,3.13070769983606e-07,3.12599534297656e-06,0.971067343435192,0.0971095477393279,"Phospholipid-transporting ATPase"
"2","HORVU.MOREX.r2.1HG0000110",1,0,3.12883378052554e-07,2.89144446424483e-05,0.97251410154839,0.0972774331550172,"50S ribosomal protein L28"
"3","HORVU.MOREX.r2.1HG0000280",0,0,1.02761404460667e-07,2.21227387731673e-07,0,1.99104648958506e-07,"Paired amphipathic helix protein Sin3"
"4","HORVU.MOREX.r2.1HG0000700",17,15663,3.13132340420203e-07,0.0417508380220413,7.91416597070413,0.82899235129025,"Transcription initiation factor TFIID subunit 6"
"5","HORVU.MOREX.r2.1HG0000720",0,0,1.02761404460667e-07,2.21227387731673e-07,0,1.99104648958506e-07,"RING-finger E3 ubiquitin ligase, putative"
"6","HORVU.MOREX.r2.1HG0000740",40,80425,3.13098767443374e-07,3.85873493381791e-06,23.7671375726945,2.37671723013089,"Charged multivesicular body protein 5"
"7","HORVU.MOREX.r2.1HG0001540",3,4193,3.12912057347314e-07,3.59916397772282e-07,2.37938641301359,0.237938965226117,"Actin"
"8","HORVU.MOREX.r2.1HG0001710",0,0,1.02761404460667e-07,2.21227387731673e-07,0,1.99104648958506e-07,"V-type proton ATPase proteolipid subunit"
"9","HORVU.MOREX.r2.1HG0002180",3,0,3.13154130655612e-07,0.000160813115737684,2.90051392850339,0.290196124654503,"Tubulin-specific chaperone cofactor E-like protein"
"10","HORVU.MOREX.r2.1HG0002190",4,4192,3.12839293916481e-07,5.14895304220212e-07,2.92046748292307,0.292047211698081,"Ras-like protein"
"11","HORVU.MOREX.r2.1HG0003070",8,7,3.12851367521853e-07,0.000145860948947621,6.15993074751254,0.616124349605307,"50S ribosomal protein L22"
"12","HORVU.MOREX.r2.1HG0003210",3,4193,3.1296948276306e-07,3.05253341789641e-07,2.33977670583761,0.233977945311769,"Kinase family protein"
"13","HORVU.MOREX.r2.1HG0003480",95,84474,3.1320675724217e-07,0.318158912206528,50.965170349281,5.38286005591397,"Pumilio-like protein"
"14","HORVU.MOREX.r2.1HG0003500",1,0,3.12625461905227e-07,1.27923414614539e-07,0.95802623883173,0.0958027390142461,"ERD (Early-responsive to dehydration stress) family protein"
"15","HORVU.MOREX.r2.1HG0003750",5,1065,3.13066349330038e-07,2.91408839112918e-06,1.59317085780018,0.15931970845957,"Rab5-interacting family protein"
"16","HORVU.MOREX.r2.1HG0004060",0,0,1.02761404460667e-07,2.21227387731673e-07,0,1.99104648958506e-07,"Transducin/WD40 repeat protein"
"17","HORVU.MOREX.r2.1HG0004680",1,0,3.12779791505923e-07,7.38559215024939e-08,0.982855115010463,0.0982855779713756,"Disease resistance protein"
