,node,degree,betweenness,closeness,eigcent,bdc,diffslc_09,description,MLA_group
1,HORVU.MOREX.r2.1HG0000020,3,0,8.76E-07,0.007977197,1.124685545,0.119648032,Phospholipid-transporting ATPase,MLA
2,HORVU.MOREX.r2.1HG0000050,2,0,8.77E-07,4.81E-07,1.732737148,0.173274148,Receptor-like kinase,HvInt
3,HORVU.MOREX.r2.1HG0000070,2,0,8.75E-07,5.26E-05,1.76137123,0.176184428,Tripartite motif-containing protein 29,HvInt
4,HORVU.MOREX.r2.1HG0000110,2,0,8.76E-07,0.000403697,1.840829372,0.184446264,50S ribosomal protein L28,HvInt
5,HORVU.MOREX.r2.1HG0000280,11,0,8.77E-07,0.001848651,1.873159303,0.188979716,Paired amphipathic helix protein Sin3,HvInt
6,HORVU.MOREX.r2.1HG0000470,4,0,8.78E-07,1.13E-05,2.137167916,0.213726947,Peptidyl-prolyl cis-trans isomerase,HvInt
7,HORVU.MOREX.r2.1HG0000700,66,14026,8.78E-07,0.032853265,19.98714715,2.028282654,Transcription initiation factor TFIID subunit 6,HvInt
8,HORVU.MOREX.r2.1HG0000720,3,0,8.77E-07,3.70E-06,0.958121823,0.095815514,"RING-finger E3 ubiquitin ligase, putative",HvInt
9,HORVU.MOREX.r2.1HG0000740,263,120410.9072,8.78E-07,0.002336978,42.82926055,4.285029335,Charged multivesicular body protein 5,HvInt
10,HORVU.MOREX.r2.1HG0000960,3,0,8.78E-07,5.68E-05,2.498891635,0.249940308,SNF1-related protein kinase regulatory subunit beta-2,HvInt
11,HORVU.MOREX.r2.1HG0001140,11,5110.68214,8.78E-07,2.36E-06,2.846590562,0.28466118,Methylsterol monooxygenase 1-2,HvInt
12,HORVU.MOREX.r2.1HG0001540,7,14042,8.77E-07,0.001579476,3.901181526,0.391539681,Actin,HvInt
13,HORVU.MOREX.r2.1HG0001560,19,35329,8.78E-07,0.004172137,5.008099004,0.504564824,Phosphoinositide phosphatase family protein,MLA
14,HORVU.MOREX.r2.1HG0001650,4,91854.16249,8.78E-07,1.02E-06,1.203718882,0.120372803,"NBS-LRR disease resistance protein, putative, expressed",HvInt
15,HORVU.MOREX.r2.1HG0001690,4,0,8.77E-07,2.03E-05,2.231806179,0.223198868,Nuclear inhibitor of protein phosphatase 1,HvInt
16,HORVU.MOREX.r2.1HG0001710,15,14051.125,8.78E-07,0.00115355,8.319598534,0.832998049,V-type proton ATPase proteolipid subunit,HvInt
17,HORVU.MOREX.r2.1HG0001900,6,0,8.78E-07,5.02E-05,1.010635638,0.10110873,Formin-like protein,HvInt
18,HORVU.MOREX.r2.1HG0001980,25,47058.07692,8.78E-07,0.001152529,4.4831755,0.449354826,U-box domain-containing protein 1,HvInt
19,HORVU.MOREX.r2.1HG0002180,7,0,8.77E-07,0.004904509,4.446147833,0.449028842,Tubulin-specific chaperone cofactor E-like protein,HvInt
20,HORVU.MOREX.r2.1HG0002190,13,2,8.77E-07,0.000205279,3.708241918,0.371008943,Ras-like protein,HvInt
21,HORVU.MOREX.r2.1HG0002200,6,0,8.76E-07,0.003357005,2.444241322,0.247445437,"Ras-related protein, expressed",HvInt
22,HORVU.MOREX.r2.1HG0002230,3,0,8.77E-07,0.000667296,0.957015618,0.096302128,12-oxophytodienoate reductase-like protein,HvInt
23,HORVU.MOREX.r2.1HG0002310,4,0,8.77E-07,5.51E-05,1.409675162,0.141017097,Disease resistance protein,HvInt
24,HORVU.MOREX.r2.1HG0002840,2,1,8.76E-07,5.29E-05,0.90526377,0.090573972,ABC transporter ATP-binding protein,HvInt
25,HORVU.MOREX.r2.1HG0002940,3,640.40625,8.78E-07,6.82E-05,0.802789162,0.08034031,O-methyltransferase,MLA
26,HORVU.MOREX.r2.1HG0002970,43,79447.50764,8.78E-07,4.91E-06,6.100964592,0.610100883,Protein DETOXIFICATION,HvInt
27,HORVU.MOREX.r2.1HG0003010,7,7977,8.77E-07,0.000435991,2.34137733,0.234530125,Transcription initiation factor IIA subunit 2,HvInt
28,HORVU.MOREX.r2.1HG0003070,13,6995,8.77E-07,0.00022649,8.214418597,0.821645701,50S ribosomal protein L22,HvInt
29,HORVU.MOREX.r2.1HG0003210,76,10654.27161,8.78E-07,0.000544235,11.09702997,1.110192809,Kinase family protein,HvInt
30,HORVU.MOREX.r2.1HG0003220,1,0,8.77E-07,0.000495661,0.854576179,0.085903713,"Ubiquitin-protein ligase, putative",HvInt
31,HORVU.MOREX.r2.1HG0003280,1,0,8.77E-07,5.53E-07,0.838139708,0.083814469,Cysteine proteinase,HvInt
32,HORVU.MOREX.r2.1HG0003480,190,137149,8.78E-07,0.276852362,69.28753794,7.17792092,Pumilio-like protein,HvInt
33,HORVU.MOREX.r2.1HG0003500,8,0,8.78E-07,6.52E-05,2.325200359,0.232578673,ERD (Early-responsive to dehydration stress) family protein,HvInt
34,HORVU.MOREX.r2.1HG0003600,2,0,8.78E-07,5.09E-05,1.654708624,0.165516693,NAD(P)-binding rossmann-fold protein,HvInt
35,HORVU.MOREX.r2.1HG0003750,50,356.6635613,8.78E-07,0.001000554,8.316274455,0.832527944,Rab5-interacting family protein,HvInt
36,HORVU.MOREX.r2.1HG0003980,7,75492.28673,8.78E-07,1.66E-05,1.758888996,0.175903883,Chalcone synthase,HvInt
37,HORVU.MOREX.r2.1HG0004060,188,333141.0462,8.78E-07,0.109393225,69.36453433,7.034907336,Transducin/WD40 repeat protein,HvInt
38,HORVU.MOREX.r2.1HG0004200,1,0,8.74E-07,7.10E-05,0.911426146,0.091206543,Mitochondrial import inner membrane translocase subunit tim23,HvInt
39,HORVU.MOREX.r2.1HG0004220,1,0,8.77E-07,5.99E-07,0.827657828,0.082766322,"Protein phosphatase 2c, putative",HvInt
40,HORVU.MOREX.r2.1HG0004630,5,0,8.77E-07,8.93E-05,2.359715981,0.236051989,Cation/H(+) antiporter,HvInt
41,HORVU.MOREX.r2.1HG0004680,4,0,8.77E-07,9.62E-05,1.542633095,0.154349891,Disease resistance protein,HvInt
