"","node","cluster","interactor","description","timepoint"
"1","HORVU.MOREX.r2.1HG0000020",1,FALSE,"Phospholipid-transporting ATPase",NA
"2","HORVU.MOREX.r2.1HG0001560",2,FALSE,"Phosphoinositide phosphatase family protein",NA
"3","HORVU.MOREX.r2.1HG0002940",1,FALSE,"O-methyltransferase",NA
"4","HORVU.MOREX.r2.1HG0004810",3,FALSE,"Actin depolymerizing factor","32H"
"5","HORVU.MOREX.r2.1HG0005340",1,FALSE,"Glucose-6-phosphate isomerase",NA
"6","HORVU.MOREX.r2.1HG0005400",1,FALSE,"Armadillo/beta-catenin-like repeat protein",NA
"7","HORVU.MOREX.r2.1HG0006000",1,FALSE,"Alcohol dehydrogenase, putative",NA
"8","HORVU.MOREX.r2.1HG0006050",1,FALSE,"Cytochrome P450",NA
"9","HORVU.MOREX.r2.1HG0006240",1,FALSE,"Glutathione S-transferase",NA
"10","HORVU.MOREX.r2.1HG0006360",3,FALSE,"Agamous MADS-box transcription factor",NA
"11","HORVU.MOREX.r2.1HG0009370",1,FALSE,"O-methyltransferase",NA
"12","HORVU.MOREX.r2.1HG0009580",3,FALSE,"Disease resistance protein (TIR-NBS-LRR class) family",NA
"13","HORVU.MOREX.r2.1HG0011030",1,FALSE,"11S globulin seed storage protein",NA
"14","HORVU.MOREX.r2.1HG0011090",3,FALSE,"Dihydrolipoyl dehydrogenase","32H"
"15","HORVU.MOREX.r2.1HG0011150",1,FALSE,"Acyl-CoA dehydrogenase",NA
"16","HORVU.MOREX.r2.1HG0011220",2,FALSE,"Polyribonucleotide nucleotidyltransferase",NA
"17","HORVU.MOREX.r2.1HG0012470",1,FALSE,"Metal tolerance protein",NA
"18","HORVU.MOREX.r2.1HG0013080",1,FALSE,"Phosphate translocator",NA
"19","HORVU.MOREX.r2.1HG0013190",3,FALSE,"Protein kinase",NA
"20","HORVU.MOREX.r2.1HG0013320",1,FALSE,"RNA polymerase II subunit B1 CTD phosphatase RPAP2, putative",NA
"21","HORVU.MOREX.r2.1HG0013380",1,FALSE,"Auxin influx transporter",NA
"22","HORVU.MOREX.r2.1HG0014060",1,FALSE,"ABC transporter B family protein",NA
"23","HORVU.MOREX.r2.1HG0014190",3,FALSE,"Chitinase",NA
"24","HORVU.MOREX.r2.1HG0015020",1,FALSE,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative",NA
"25","HORVU.MOREX.r2.1HG0015100",3,FALSE,"Mitogen-activated protein kinase","32H"
"26","HORVU.MOREX.r2.1HG0015850",3,FALSE,"Sucrose-phosphatase",NA
"27","HORVU.MOREX.r2.1HG0016740",3,FALSE,"Transcription factor basic helix-loop-helix",NA
"28","HORVU.MOREX.r2.1HG0016780",1,FALSE,"Asparagine--tRNA ligase",NA
"29","HORVU.MOREX.r2.1HG0017460",3,FALSE,"Cullin-1",NA
"30","HORVU.MOREX.r2.1HG0017470",3,FALSE,"Cullin-1",NA
"31","HORVU.MOREX.r2.1HG0017810",2,FALSE,"Chromatin remodeling factor, putative",NA
"32","HORVU.MOREX.r2.1HG0017830",3,FALSE,"Transport inhibitor response 1",NA
"33","HORVU.MOREX.r2.1HG0018040",6,FALSE,"40S ribosomal protein S4",NA
"34","HORVU.MOREX.r2.1HG0018440",1,FALSE,"Phenylalanine ammonia-lyase",NA
"35","HORVU.MOREX.r2.1HG0018500",1,FALSE,"Gamma-tubulin complex component",NA
"36","HORVU.MOREX.r2.1HG0019300",1,FALSE,"Dihydrolipoyl dehydrogenase",NA
"37","HORVU.MOREX.r2.1HG0019750",3,FALSE,"AGAMOUS MADS box factor transcription factor",NA
"38","HORVU.MOREX.r2.1HG0019760",3,FALSE,"Dihydrolipoyl dehydrogenase","32H"
"39","HORVU.MOREX.r2.1HG0020680",6,FALSE,"Ribosomal protein","32H"
"40","HORVU.MOREX.r2.1HG0021380",1,FALSE,"Alba DNA/RNA-binding protein",NA
"41","HORVU.MOREX.r2.1HG0021520",5,FALSE,"Phototropic-responsive NPH3 family protein",NA
"42","HORVU.MOREX.r2.1HG0022310",1,FALSE,"70 kDa heat shock protein",NA
"43","HORVU.MOREX.r2.1HG0022960",1,FALSE,"70 kDa heat shock protein","32H"
